horario,numero,cor
23:59:51,0,B
23:59:47,5,V
23:59:33,2,V
23:59:21,5,V
23:59:17,8,P
23:59:03,4,V
23:59,1,V
23:59,12,P
23:58:51,2,V
23:58:47,6,V
23:58:33,14,P
23:58:21,9,P
23:58:17,4,V
23:58:03,6,V
23:58,13,P
23:58,1,V
23:57:51,2,V
23:57:47,12,P
23:57:33,8,P
23:57:20,2,V
23:57:17,3,V
23:57:03,11,P
23:57,13,P
23:57,7,V
23:56:50,12,P
23:56:46,1,V
23:56:33,9,P
23:56:20,8,P
23:56:16,6,V
23:56:03,2,V
23:56,14,P
23:56,6,V
23:55:50,12,P
23:55:46,7,V
23:55:33,7,V
23:55:20,10,P
23:55:16,1,V
23:55:03,8,P
23:55,11,P
23:55,8,P
23:54:50,8,P
23:54:46,5,V
23:54:33,9,P
23:54:20,6,V
23:54:16,8,P
23:54:03,8,P
23:54,11,P
23:54,0,B
23:53:50,1,V
23:53:46,14,P
23:53:32,2,V
23:53:20,13,P
23:53:16,8,P
23:53:02,13,P
23:53,11,P
23:52:50,6,V
23:52:46,0,B
23:52:32,12,P
23:52:20,1,V
23:52:16,3,V
23:52:02,10,P
23:52,6,V
23:52,10,P
23:51:49,0,B
23:51:46,3,V
23:51:32,13,P
23:51:19,1,V
23:51:16,10,P
23:51:02,11,P
23:51,9,P
23:50:49,2,V
23:50:46,9,P
23:50:32,12,P
23:50:19,11,P
23:50:16,8,P
23:50:02,0,B
23:50,14,P
23:50,9,P
23:49:49,4,V
23:49:46,7,V
23:49:32,6,V
23:49:19,10,P
23:49:16,1,V
23:49:02,4,V
23:49,0,B
23:49,10,P
23:48:49,3,V
23:48:45,6,V
23:48:32,12,P
23:48:19,4,V
23:48:15,7,V
23:48:02,0,B
23:48,3,V
23:48,9,P
23:47:49,14,P
23:47:45,2,V
23:47:32,12,P
23:47:19,13,P
23:47:15,7,V
23:47:02,2,V
23:47,5,V
23:46:49,14,P
23:46:45,7,V
23:46:32,7,V
23:46:19,8,P
23:46:15,5,V
23:46:02,1,V
23:46,4,V
23:46,10,P
23:45:49,10,P
23:45:45,9,P
23:45:32,13,P
23:45:19,6,V
23:45:15,1,V
23:45:02,2,V
23:45,11,P
23:45,12,P
23:44:49,3,V
23:44:45,13,P
23:44:31,12,P
23:44:19,5,V
23:44:15,9,P
23:44:01,0,B
23:44,0,B
23:44,11,P
23:43:49,3,V
23:43:45,8,P
23:43:31,3,V
23:43:19,3,V
23:43:15,5,V
23:43:01,14,P
23:43,4,V
23:43,7,V
23:42:48,6,V
23:42:45,13,P
23:42:31,3,V
23:42:18,10,P
23:42:15,10,P
23:42:01,3,V
23:42,8,P
23:41:48,14,P
23:41:45,12,P
23:41:31,11,P
23:41:18,6,V
23:41:15,13,P
23:41:01,0,B
23:41,7,V
23:41,8,P
23:40:48,2,V
23:40:45,9,P
23:40:31,9,P
23:40:18,6,V
23:40:15,13,P
23:40:01,5,V
23:40,8,P
23:40,12,P
23:39:48,14,P
23:39:44,10,P
23:39:31,9,P
23:39:18,4,V
23:39:14,13,P
23:39:01,12,P
23:39,5,V
23:39,12,P
23:38:48,11,P
23:38:48,6,V
23:38:44,4,V
23:38:31,4,V
23:38:18,6,V
23:38:14,6,V
23:38:01,1,V
23:38,9,P
23:37:48,3,V
23:37:44,7,V
23:37:31,12,P
23:37:18,14,P
23:37:14,3,V
23:37:01,13,P
23:37,4,V
23:37,2,V
23:36:48,5,V
23:36:44,8,P
23:36:31,5,V
23:36:18,1,V
23:36:14,13,P
23:36:01,10,P
23:36,13,P
23:36,5,V
23:35:48,5,V
23:35:44,1,V
23:35:30,14,P
